prot1,prot2,gene1,gene2,idm,authors,pub_id,species1,species2,interaction_type,source_databases,interaction_identifiers,confidence_score,biological_role1,biological_role2,exp_role1,exp_role2,interactor_type1,interactor_type2,taxid_host,participant_id_method1,participant_id_method2,service_name,biogrid_experimental_system,biogrid_description,biogrid_type,throughput
P30771,P38798,NAM7,NMD2,"psi-mi:""MI:0018""(two hybrid)",He F (1996),pubmed:8601282,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:142040,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,P38798,NAM7,NMD2,"psi-mi:""MI:0018""(two hybrid)",He F (1996),pubmed:8601282,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:142041,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,P38798,NAM7,NMD2,"psi-mi:""MI:0018""(two hybrid)",He F (1995),pubmed:7883168,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:142042,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,P38798,NAM7,NMD2,"psi-mi:""MI:0018""(two hybrid)",He F (1995),pubmed:7883168,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:142043,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P24783,P30771,DBP2,NAM7,"psi-mi:""MI:0018""(two hybrid)",Bond AT (2001),pubmed:11585918,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:143068,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,P38861,NAM7,NMD3,"psi-mi:""MI:0018""(two hybrid)",Zuk D (1999),pubmed:10471698,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:143069,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,P38861,NAM7,NMD3,"psi-mi:""MI:0018""(two hybrid)",Belk JP (1999),pubmed:10445880,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:143070,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,P48412,NAM7,UPF3,"psi-mi:""MI:0018""(two hybrid)",He F (1997),pubmed:9032286,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:143071,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,P38798,NAM7,NMD2,"psi-mi:""MI:0018""(two hybrid)",Weng Y (1996),pubmed:8816462,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:144296,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P24783,P30771,DBP2,NAM7,"psi-mi:""MI:0018""(two hybrid)",He F (1995),pubmed:7883168,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:146215,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,Q00916,NAM7,SNP1,"psi-mi:""MI:0018""(two hybrid)",He F (1995),pubmed:7883168,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:146216,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P05453,P30771,SUP35,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Kobayashi T (2004),pubmed:15337765,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:147080,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0113""(western blot)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P12385,P30771,SUP45,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Czaplinski K (1998),pubmed:9620853,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:148760,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0113""(western blot)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P05453,P30771,SUP35,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Czaplinski K (1998),pubmed:9620853,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:148761,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0113""(western blot)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P30771,P30771,NAM7,NAM7,"psi-mi:""MI:0018""(two hybrid)",Weng Y (1996),pubmed:8816462,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:149417,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,Q02629,NAM7,NUP100,"psi-mi:""MI:0018""(two hybrid)",Nazarenus T (2005),pubmed:15716093,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:152242,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,Q02630,NAM7,NUP116,"psi-mi:""MI:0018""(two hybrid)",Nazarenus T (2005),pubmed:15716093,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:152243,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0078""(nucleotide sequence identification)","psi-mi:""MI:0078""(nucleotide sequence identification)",BioGrid,Two-hybrid,The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.,Physical,Low Throughput
P30771,Q02629,NAM7,NUP100,"psi-mi:""MI:0004""(affinity chromatography technology)",Nazarenus T (2005),pubmed:15716093,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:152245,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0113""(western blot)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P30771,Q02630,NAM7,NUP116,"psi-mi:""MI:0004""(affinity chromatography technology)",Nazarenus T (2005),pubmed:15716093,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:152246,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0113""(western blot)",BioGrid,Affinity Capture-Western,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.,Physical,Low Throughput
P07246,P30771,ADH3,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Gavin AC (2006),pubmed:16429126,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:190976,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0427""(mass spectrometry)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,P47017,NAM7,LSM1,"psi-mi:""MI:0004""(affinity chromatography technology)",Gavin AC (2006),pubmed:16429126,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:191502,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0427""(mass spectrometry)","psi-mi:""MI:0396""(predetermined participant)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P25554,P30771,SGF29,NAM7,"psi-mi:""MI:0004""(affinity chromatography technology)",Gavin AC (2006),pubmed:16429126,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:194194,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0427""(mass spectrometry)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
P30771,P49626,NAM7,RPL4B,"psi-mi:""MI:0004""(affinity chromatography technology)",Gavin AC (2006),pubmed:16429126,taxid:559292,taxid:559292,"psi-mi:""MI:0915""(physical association)","psi-mi:""MI:0463""(biogrid)",biogrid:194269,-,"psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0499""(unspecified role)","psi-mi:""MI:0496""(bait)","psi-mi:""MI:0498""(prey)","psi-mi:""MI:0326""(protein)","psi-mi:""MI:0326""(protein)",taxid:unknown(-3),"psi-mi:""MI:0396""(predetermined participant)","psi-mi:""MI:0427""(mass spectrometry)",BioGrid,Affinity Capture-MS,The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.,Physical,High Throughput
